epoch,step,loss
118,23128,0.046036748348602226
1,196,0.1289277052582831
119,23324,0.04517465491532063
2,392,0.06900950798726811
120,23520,0.04552397103409986
3,588,0.06180045913372721
121,23716,0.045723867802215476
4,784,0.05950496934962516
5,980,0.05736718784865676
122,23912,0.04525148540697232
6,1176,0.056215972525580804
123,24108,0.04613361296681117
124,24304,0.04624991362192193
125,24500,0.046300536515761395
126,24696,0.04614540370067163
127,24892,0.04533876698198063
128,25088,0.04594428460969
129,25284,0.045781598331368696
130,25480,0.04562858648940313
131,25676,0.04593919132056893
132,25872,0.045537495120827644
133,26068,0.04580627978608316
134,26264,0.04610434488146281
135,26460,0.04487216107699336
136,26656,0.04523625087030992
137,26852,0.046322825269735586
138,27048,0.045665233310464085
139,27244,0.045025203728630225
140,27440,0.04554647575987845
141,27636,0.045408864011417846
142,27832,0.04521872694319
143,28028,0.04465465304650822
144,28224,0.045630652077344
145,28420,0.04508526124326246
146,28616,0.04450622860494317
147,28812,0.04617408657332464
148,29008,0.04605792155869457
149,29204,0.04519463018799315
150,29400,0.0450113194101319
151,29596,0.045233203107681204
152,29792,0.04514274466782808
153,29988,0.04652442914262718
154,30184,0.04520979487546244
155,30380,0.04482087101407197
156,30576,0.046003780821908494
157,30772,0.04594429975793678
158,30968,0.0449334740999858
159,31164,0.0448381267297937
160,31360,0.044964593112924875
161,31556,0.04513277819532217
162,31752,0.04502421290594704
163,31948,0.0454060190395281
164,32144,0.044721900095821034
165,32340,0.04597857464294957
166,32536,0.04470149195772045
167,32732,0.04427844880871019
168,32928,0.04485774055427434
169,33124,0.04508506440158401
170,33320,0.044784569951268484
171,33516,0.0444611004382676
172,33712,0.04591199226335299
173,33908,0.04472381971320327
174,34104,0.044753246370474904
175,34300,0.04375079598239794
176,34496,0.045384702329732934
177,34692,0.0447986813034026
178,34888,0.04577594265645864
179,35084,0.045098048815389674
180,35280,0.04543189662603699
181,35476,0.045072991391453814
182,35672,0.044181779131521375
183,35868,0.04506407531776598
184,36064,0.04461810605752529
185,36260,0.04475728264648696
186,36456,0.044260305561581434
187,36652,0.04449047836266002
188,36848,0.0457171786918628
189,37044,0.044288947940709034
190,37240,0.04517337898438682
191,37436,0.04509729401645612
192,37632,0.04592878004650072
193,37828,0.044400022982866785
194,38024,0.04472304362689658
195,38220,0.045794285558240146
196,38416,0.04513481620471088
197,38612,0.0457216445831772
198,38808,0.04457250541570235
199,39004,0.04542406087703243
200,39200,0.04507199656788488
